rep,size,num_streams,block_size,section,dur
0,1024,1,32,total,1.658880e-04
0,1024,1,32,stream-0,1.027200e-05
0,1024,1,64,total,1.272960e-04
0,1024,1,64,stream-0,8.192000e-06
0,1024,1,128,total,1.167360e-04
0,1024,1,128,stream-0,7.712000e-06
0,1024,1,256,total,1.168640e-04
0,1024,1,256,stream-0,6.912000e-06
0,1024,1,512,total,1.138240e-04
0,1024,1,512,stream-0,7.840000e-06
0,1024,1,1024,total,1.140160e-04
0,1024,1,1024,stream-0,6.560000e-06
0,1024,2,32,total,1.659520e-04
0,1024,2,32,stream-1,7.520000e-06
0,1024,2,32,stream-0,6.176000e-06
0,1024,2,64,total,1.522240e-04
0,1024,2,64,stream-1,7.872000e-06
0,1024,2,64,stream-0,7.808000e-06
0,1024,2,128,total,1.507520e-04
0,1024,2,128,stream-1,7.040000e-06
0,1024,2,128,stream-0,6.976000e-06
0,1024,2,256,total,1.474880e-04
0,1024,2,256,stream-1,7.776000e-06
0,1024,2,256,stream-0,7.008000e-06
0,1024,2,512,total,1.510080e-04
0,1024,2,512,stream-1,6.976000e-06
0,1024,2,512,stream-0,6.944000e-06
0,1024,2,1024,total,1.640000e-04
0,1024,2,1024,stream-1,7.744000e-06
0,1024,2,1024,stream-0,8.192000e-06
0,1024,4,32,total,2.211840e-04
0,1024,4,32,stream-3,6.144000e-06
0,1024,4,32,stream-2,6.144000e-06
0,1024,4,32,stream-1,6.144000e-06
0,1024,4,32,stream-0,7.776000e-06
0,1024,4,64,total,2.191360e-04
0,1024,4,64,stream-3,6.400000e-06
0,1024,4,64,stream-2,6.080000e-06
0,1024,4,64,stream-1,6.144000e-06
0,1024,4,64,stream-0,6.560000e-06
0,1024,4,128,total,2.186240e-04
0,1024,4,128,stream-3,6.368000e-06
0,1024,4,128,stream-2,6.144000e-06
0,1024,4,128,stream-1,6.272000e-06
0,1024,4,128,stream-0,7.744000e-06
0,1024,4,256,total,2.170560e-04
0,1024,4,256,stream-3,7.680000e-06
0,1024,4,256,stream-2,6.144000e-06
0,1024,4,256,stream-1,6.144000e-06
0,1024,4,256,stream-0,8.032000e-06
0,1024,4,512,total,2.191360e-04
0,1024,4,512,stream-3,8.032000e-06
0,1024,4,512,stream-2,6.432000e-06
0,1024,4,512,stream-1,6.784000e-06
0,1024,4,512,stream-0,6.144000e-06
0,1024,4,1024,total,2.169600e-04
0,1024,4,1024,stream-3,6.144000e-06
0,1024,4,1024,stream-2,6.272000e-06
0,1024,4,1024,stream-1,4.960000e-06
0,1024,4,1024,stream-0,6.432000e-06
0,1024,8,32,total,3.612480e-04
0,1024,8,32,stream-6,5.824000e-06
0,1024,8,32,stream-7,7.904000e-06
0,1024,8,32,stream-5,6.144000e-06
0,1024,8,32,stream-4,5.856000e-06
0,1024,8,32,stream-3,5.984000e-06
0,1024,8,32,stream-2,6.048000e-06
0,1024,8,32,stream-1,6.080000e-06
0,1024,8,32,stream-0,6.144000e-06
0,1024,8,64,total,3.563520e-04
0,1024,8,64,stream-6,5.024000e-06
0,1024,8,64,stream-7,6.880000e-06
0,1024,8,64,stream-5,6.144000e-06
0,1024,8,64,stream-4,7.488000e-06
0,1024,8,64,stream-3,6.016000e-06
0,1024,8,64,stream-2,7.328000e-06
0,1024,8,64,stream-1,6.144000e-06
0,1024,8,64,stream-0,8.160000e-06
0,1024,8,128,total,3.532160e-04
0,1024,8,128,stream-6,6.144000e-06
0,1024,8,128,stream-7,6.848000e-06
0,1024,8,128,stream-5,5.952000e-06
0,1024,8,128,stream-4,4.960000e-06
0,1024,8,128,stream-3,6.144000e-06
0,1024,8,128,stream-2,6.144000e-06
0,1024,8,128,stream-1,6.048000e-06
0,1024,8,128,stream-0,6.144000e-06
0,1024,8,256,total,3.570240e-04
0,1024,8,256,stream-6,6.144000e-06
0,1024,8,256,stream-7,6.752000e-06
0,1024,8,256,stream-5,6.144000e-06
0,1024,8,256,stream-4,6.144000e-06
0,1024,8,256,stream-3,6.368000e-06
0,1024,8,256,stream-2,5.984000e-06
0,1024,8,256,stream-1,6.048000e-06
0,1024,8,256,stream-0,6.144000e-06
0,1024,8,512,total,3.929920e-04
0,1024,8,512,stream-6,6.144000e-06
0,1024,8,512,stream-7,6.816000e-06
0,1024,8,512,stream-5,5.536000e-06
0,1024,8,512,stream-4,6.304000e-06
0,1024,8,512,stream-3,6.304000e-06
0,1024,8,512,stream-2,6.144000e-06
0,1024,8,512,stream-1,7.232000e-06
0,1024,8,512,stream-0,8.064000e-06
0,1024,8,1024,total,3.684480e-04
0,1024,8,1024,stream-6,6.144000e-06
0,1024,8,1024,stream-7,8.064000e-06
0,1024,8,1024,stream-5,6.432000e-06
0,1024,8,1024,stream-4,6.112000e-06
0,1024,8,1024,stream-3,7.616000e-06
0,1024,8,1024,stream-2,1.577600e-05
0,1024,8,1024,stream-1,6.144000e-06
0,1024,8,1024,stream-0,7.584000e-06
0,1024,16,32,stream-14,5.088000e-06
0,1024,16,32,total,1.054720e-03
0,1024,16,32,stream-13,6.112000e-06
0,1024,16,32,stream-0,8.640000e-06
0,1024,16,32,stream-1,4.896000e-06
0,1024,16,32,stream-2,6.144000e-06
0,1024,16,32,stream-3,6.176000e-06
0,1024,16,32,stream-4,5.696000e-06
0,1024,16,32,stream-9,5.888000e-06
0,1024,16,32,stream-5,7.232000e-06
0,1024,16,32,stream-7,7.424000e-06
0,1024,16,32,stream-6,6.464000e-06
0,1024,16,32,stream-15,7.456000e-06
0,1024,16,32,stream-8,6.144000e-06
0,1024,16,32,stream-10,5.184000e-06
0,1024,16,32,stream-11,5.888000e-06
0,1024,16,32,stream-12,6.368000e-06
0,1024,16,64,stream-14,6.112000e-06
0,1024,16,64,total,6.931840e-04
0,1024,16,64,stream-13,6.464000e-06
0,1024,16,64,stream-0,8.192000e-06
0,1024,16,64,stream-1,7.040000e-06
0,1024,16,64,stream-2,6.144000e-06
