rep,size,num_streams,block_size,section,dur
0,1024,1,32,total,1.104960e-04
0,1024,1,32,no-alloc,4.588800e-05
0,1024,1,32,stream-0,3.289600e-05
0,1024,1,64,total,8.601600e-05
0,1024,1,64,no-alloc,3.481600e-05
0,1024,1,64,stream-0,2.252800e-05
0,1024,1,128,total,7.852800e-05
0,1024,1,128,no-alloc,3.292800e-05
0,1024,1,128,stream-0,2.246400e-05
0,1024,1,256,total,7.900800e-05
0,1024,1,256,no-alloc,3.260800e-05
0,1024,1,256,stream-0,2.048000e-05
0,1024,1,512,total,7.840000e-05
0,1024,1,512,no-alloc,3.136000e-05
0,1024,1,512,stream-0,2.048000e-05
0,1024,1,1024,total,7.747200e-05
0,1024,1,1024,no-alloc,3.276800e-05
0,1024,1,1024,stream-0,2.048000e-05
0,1024,2,32,total,1.085440e-04
0,1024,2,32,no-alloc,4.947200e-05
0,1024,2,32,stream-1,2.156800e-05
0,1024,2,32,stream-0,1.433600e-05
0,1024,2,64,total,1.032000e-04
0,1024,2,64,no-alloc,5.008000e-05
0,1024,2,64,stream-1,2.048000e-05
0,1024,2,64,stream-0,1.472000e-05
0,1024,2,128,total,1.000640e-04
0,1024,2,128,no-alloc,4.905600e-05
0,1024,2,128,stream-1,2.064000e-05
0,1024,2,128,stream-0,1.504000e-05
0,1024,2,256,total,9.776000e-05
0,1024,2,256,no-alloc,4.822400e-05
0,1024,2,256,stream-1,1.993600e-05
0,1024,2,256,stream-0,1.433600e-05
0,1024,2,512,total,9.827200e-05
0,1024,2,512,no-alloc,4.716800e-05
0,1024,2,512,stream-1,2.035200e-05
0,1024,2,512,stream-0,1.433600e-05
0,1024,2,1024,total,9.804800e-05
0,1024,2,1024,no-alloc,4.876800e-05
0,1024,2,1024,stream-1,2.048000e-05
0,1024,2,1024,stream-0,1.590400e-05
0,1024,4,32,total,1.423360e-04
0,1024,4,32,no-alloc,8.192000e-05
0,1024,4,32,stream-3,2.048000e-05
0,1024,4,32,stream-2,1.388800e-05
0,1024,4,32,stream-1,1.270400e-05
0,1024,4,32,stream-0,1.433600e-05
0,1024,4,64,total,1.852800e-04
0,1024,4,64,no-alloc,8.662399e-05
0,1024,4,64,stream-3,2.048000e-05
0,1024,4,64,stream-2,1.388800e-05
0,1024,4,64,stream-1,1.436800e-05
0,1024,4,64,stream-0,1.596800e-05
0,1024,4,128,total,1.872000e-04
0,1024,4,128,no-alloc,1.229440e-04
