rep,size,num_streams,block_size,section,dur
3,1024,8,64,total,1.927040e-04
3,1024,8,128,total,1.777280e-04
3,1024,8,256,total,1.699840e-04
3,1024,8,512,total,1.665600e-04
3,1024,8,1024,total,1.680000e-04
3,1024,16,32,total,2.846720e-04
3,1024,16,64,total,2.845440e-04
3,1024,16,128,total,2.862080e-04
3,1024,16,256,total,2.841920e-04
3,1024,16,512,total,2.846720e-04
3,1024,16,1024,total,3.133440e-04
3,1024,32,32,total,5.230720e-04
3,1024,32,64,total,5.447680e-04
3,1024,32,128,total,5.241280e-04
3,1024,32,256,total,5.468480e-04
3,1024,32,512,total,5.250880e-04
3,1024,32,1024,total,5.244800e-04
3,1024,64,32,total,1.019680e-03
3,1024,64,64,total,1.026048e-03
3,1024,64,128,total,1.009152e-03
3,1024,64,256,total,1.007008e-03
3,1024,64,512,total,1.008960e-03
3,1024,64,1024,total,1.029728e-03
4,1024,1,32,total,6.800000e-05
4,1024,1,64,total,6.684800e-05
4,1024,1,128,total,6.681600e-05
4,1024,1,256,total,6.537600e-05
4,1024,1,512,total,6.432000e-05
4,1024,1,1024,total,6.640000e-05
4,1024,2,32,total,8.137600e-05
4,1024,2,64,total,8.265601e-05
4,1024,2,128,total,8.192000e-05
4,1024,2,256,total,8.192000e-05
4,1024,2,512,total,8.192000e-05
4,1024,2,1024,total,8.003200e-05
4,1024,4,32,total,1.118400e-04
4,1024,4,64,total,1.126400e-04
4,1024,4,128,total,1.086080e-04
4,1024,4,256,total,1.085440e-04
4,1024,4,512,total,1.111680e-04
4,1024,4,1024,total,1.105920e-04
4,1024,8,32,total,1.679360e-04
4,1024,8,64,total,1.964800e-04
4,1024,8,128,total,1.699840e-04
4,1024,8,256,total,1.702720e-04
4,1024,8,512,total,1.670080e-04
4,1024,8,1024,total,1.696640e-04
4,1024,16,32,total,2.830080e-04
4,1024,16,64,total,2.849280e-04
4,1024,16,128,total,2.826240e-04
4,1024,16,256,total,2.846720e-04
4,1024,16,512,total,2.867200e-04
4,1024,16,1024,total,3.111040e-04
4,1024,32,32,total,5.263360e-04
4,1024,32,64,total,5.209280e-04
4,1024,32,128,total,5.509120e-04
4,1024,32,256,total,5.468800e-04
4,1024,32,512,total,5.211520e-04
4,1024,32,1024,total,5.200640e-04
4,1024,64,32,total,1.015168e-03
4,1024,64,64,total,1.013760e-03
4,1024,64,128,total,1.007712e-03
4,1024,64,256,total,1.003808e-03
4,1024,64,512,total,1.011040e-03
4,1024,64,1024,total,1.032672e-03
5,1024,1,32,total,6.793600e-05
5,1024,1,64,total,6.646400e-05
5,1024,1,128,total,6.755200e-05
5,1024,1,256,total,6.537600e-05
5,1024,1,512,total,6.704000e-05
5,1024,1,1024,total,6.656000e-05
5,1024,2,32,total,9.216000e-05
5,1024,2,64,total,7.977599e-05
5,1024,2,128,total,7.753600e-05
5,1024,2,256,total,7.782400e-05
5,1024,2,512,total,7.763200e-05
5,1024,2,1024,total,7.782400e-05
5,1024,4,32,total,1.064960e-04
5,1024,4,64,total,1.069120e-04
5,1024,4,128,total,1.050880e-04
5,1024,4,256,total,1.064640e-04
5,1024,4,512,total,1.052480e-04
5,1024,4,1024,total,1.048960e-04
5,1024,8,32,total,1.619520e-04
5,1024,8,64,total,1.847680e-04
5,1024,8,128,total,1.607360e-04
5,1024,8,256,total,1.614080e-04
5,1024,8,512,total,1.669440e-04
5,1024,8,1024,total,1.618560e-04
5,1024,16,32,total,2.723840e-04
5,1024,16,64,total,2.744320e-04
5,1024,16,128,total,2.767040e-04
5,1024,16,256,total,2.760640e-04
5,1024,16,512,total,2.865280e-04
5,1024,16,1024,total,2.967040e-04
5,1024,32,32,total,5.124480e-04
5,1024,32,64,total,5.072960e-04
5,1024,32,128,total,5.192320e-04
5,1024,32,256,total,5.484800e-04
5,1024,32,512,total,5.240000e-04
5,1024,32,1024,total,5.278080e-04
5,1024,64,32,total,1.013728e-03
5,1024,64,64,total,1.007552e-03
5,1024,64,128,total,1.010048e-03
5,1024,64,256,total,1.005600e-03
5,1024,64,512,total,1.009664e-03
5,1024,64,1024,total,1.017856e-03
6,1024,1,32,total,6.889601e-05
6,1024,1,64,total,6.982400e-05
6,1024,1,128,total,6.720000e-05
6,1024,1,256,total,6.758400e-05
6,1024,1,512,total,6.566400e-05
6,1024,1,1024,total,6.742400e-05
6,1024,2,32,total,8.175999e-05
6,1024,2,64,total,8.025600e-05
6,1024,2,128,total,8.115200e-05
6,1024,2,256,total,8.172799e-05
6,1024,2,512,total,8.073600e-05
6,1024,2,1024,total,8.342401e-05
6,1024,4,32,total,1.123840e-04
6,1024,4,64,total,1.105920e-04
6,1024,4,128,total,1.105920e-04
6,1024,4,256,total,1.111680e-04
6,1024,4,512,total,1.109440e-04
6,1024,4,1024,total,1.125760e-04
6,1024,8,32,total,1.707840e-04
6,1024,8,64,total,1.950720e-04
6,1024,8,128,total,1.693120e-04
6,1024,8,256,total,1.728000e-04
6,1024,8,512,total,1.703360e-04
6,1024,8,1024,total,1.840320e-04
6,1024,16,32,total,2.865600e-04
6,1024,16,64,total,2.846720e-04
6,1024,16,128,total,2.858240e-04
6,1024,16,256,total,2.867200e-04
6,1024,16,512,total,2.846720e-04
6,1024,16,1024,total,3.133440e-04
6,1024,32,32,total,5.229440e-04
6,1024,32,64,total,5.253440e-04
6,1024,32,128,total,5.240960e-04
6,1024,32,256,total,5.713920e-04
6,1024,32,512,total,5.242880e-04
6,1024,32,1024,total,5.257920e-04
6,1024,64,32,total,1.011200e-03
6,1024,64,64,total,1.008320e-03
6,1024,64,128,total,1.017856e-03
6,1024,64,256,total,1.009824e-03
6,1024,64,512,total,1.004512e-03
6,1024,64,1024,total,1.043968e-03
7,1024,1,32,total,6.927999e-05
7,1024,1,64,total,6.614400e-05
7,1024,1,128,total,6.608000e-05
7,1024,1,256,total,6.713600e-05
7,1024,1,512,total,6.553600e-05
7,1024,1,1024,total,6.553600e-05
7,1024,2,32,total,8.105600e-05
7,1024,2,64,total,8.192000e-05
7,1024,2,128,total,8.204800e-05
7,1024,2,256,total,8.288000e-05
7,1024,2,512,total,8.140800e-05
7,1024,2,1024,total,8.182400e-05
7,1024,4,32,total,1.105920e-04
7,1024,4,64,total,1.100480e-04
7,1024,4,128,total,1.122240e-04
7,1024,4,256,total,1.137280e-04
7,1024,4,512,total,1.119680e-04
7,1024,4,1024,total,1.105920e-04
7,1024,8,32,total,1.707840e-04
7,1024,8,64,total,1.943040e-04
7,1024,8,128,total,1.685120e-04
7,1024,8,256,total,1.700480e-04
7,1024,8,512,total,1.685760e-04
7,1024,8,1024,total,1.703680e-04
7,1024,16,32,total,2.941440e-04
7,1024,16,64,total,2.826880e-04
7,1024,16,128,total,2.856640e-04
7,1024,16,256,total,2.859520e-04
7,1024,16,512,total,2.869440e-04
7,1024,16,1024,total,3.113600e-04
7,1024,32,32,total,5.206400e-04
7,1024,32,64,total,5.242240e-04
7,1024,32,128,total,5.255040e-04
7,1024,32,256,total,5.766720e-04
7,1024,32,512,total,5.242880e-04
7,1024,32,1024,total,5.231680e-04
7,1024,64,32,total,9.876480e-04
7,1024,64,64,total,9.789120e-04
7,1024,64,128,total,1.116160e-03
7,1024,64,256,total,9.809920e-04
7,1024,64,512,total,1.000160e-03
7,1024,64,1024,total,1.026048e-03
8,1024,1,32,total,6.982400e-05
8,1024,1,64,total,6.796800e-05
8,1024,1,128,total,6.758400e-05
8,1024,1,256,total,6.771200e-05
8,1024,1,512,total,6.553600e-05
8,1024,1,1024,total,6.617600e-05
8,1024,2,32,total,8.192000e-05
8,1024,2,64,total,8.144000e-05
8,1024,2,128,total,8.320000e-05
8,1024,2,256,total,8.364800e-05
8,1024,2,512,total,8.089600e-05
8,1024,2,1024,total,8.016000e-05
8,1024,4,32,total,1.126400e-04
8,1024,4,64,total,1.126400e-04
8,1024,4,128,total,1.101760e-04
8,1024,4,256,total,1.111680e-04
8,1024,4,512,total,1.108160e-04
8,1024,4,1024,total,1.126400e-04
8,1024,8,32,total,1.680960e-04
8,1024,8,64,total,1.958080e-04
8,1024,8,128,total,1.699840e-04
8,1024,8,256,total,1.685440e-04
8,1024,8,512,total,1.699840e-04
8,1024,8,1024,total,1.699840e-04
8,1024,16,32,total,2.927360e-04
8,1024,16,64,total,2.847040e-04
8,1024,16,128,total,2.868800e-04
8,1024,16,256,total,2.851520e-04
8,1024,16,512,total,2.842880e-04
8,1024,16,1024,total,3.108480e-04
8,1024,32,32,total,5.220800e-04
8,1024,32,64,total,5.242880e-04
8,1024,32,128,total,5.202880e-04
8,1024,32,256,total,5.668160e-04
8,1024,32,512,total,5.203200e-04
8,1024,32,1024,total,5.220480e-04
8,1024,64,32,total,1.010304e-03
8,1024,64,64,total,1.003360e-03
8,1024,64,128,total,1.009664e-03
8,1024,64,256,total,1.008064e-03
8,1024,64,512,total,1.003520e-03
8,1024,64,1024,total,1.005568e-03
9,1024,1,32,total,6.758400e-05
9,1024,1,64,total,1.146880e-04
9,1024,1,128,total,6.758400e-05
9,1024,1,256,total,6.748800e-05
9,1024,1,512,total,6.665600e-05
9,1024,1,1024,total,6.553600e-05
9,1024,2,32,total,8.233600e-05
9,1024,2,64,total,8.128000e-05
9,1024,2,128,total,8.198400e-05
9,1024,2,256,total,8.320000e-05
9,1024,2,512,total,8.179199e-05
9,1024,2,1024,total,8.192000e-05
9,1024,4,32,total,1.122880e-04
9,1024,4,64,total,1.108800e-04
9,1024,4,128,total,1.110400e-04
9,1024,4,256,total,1.104960e-04
9,1024,4,512,total,1.105920e-04
9,1024,4,1024,total,1.126400e-04
9,1024,8,32,total,1.699200e-04
9,1024,8,64,total,1.930880e-04
9,1024,8,128,total,1.681280e-04
9,1024,8,256,total,1.685120e-04
9,1024,8,512,total,1.668160e-04
9,1024,8,1024,total,1.675200e-04
9,1024,16,32,total,2.851200e-04
9,1024,16,64,total,2.993280e-04
9,1024,16,128,total,2.862720e-04
9,1024,16,256,total,2.856000e-04
9,1024,16,512,total,2.846720e-04
9,1024,16,1024,total,3.112960e-04
9,1024,32,32,total,5.232960e-04
9,1024,32,64,total,5.222080e-04
9,1024,32,128,total,5.242880e-04
9,1024,32,256,total,5.918720e-04
9,1024,32,512,total,5.222400e-04
9,1024,32,1024,total,5.248640e-04
9,1024,64,32,total,1.007616e-03
9,1024,64,64,total,1.003936e-03
9,1024,64,128,total,1.019904e-03
9,1024,64,256,total,9.994240e-04
9,1024,64,512,total,1.004896e-03
9,1024,64,1024,total,1.006624e-03
10,1024,1,32,total,6.694401e-05
10,1024,1,64,total,6.636800e-05
10,1024,1,128,total,6.636800e-05
10,1024,1,256,total,7.577601e-05
10,1024,1,512,total,6.556800e-05
10,1024,1,1024,total,6.662400e-05
10,1024,2,32,total,8.230400e-05
10,1024,2,64,total,8.153600e-05
10,1024,2,128,total,8.192000e-05
10,1024,2,256,total,8.358400e-05
10,1024,2,512,total,8.144000e-05
