rep,algo,size,R,block,section,dur
0,gpu-v3,1000,300,128,total,3.125120e-04
0,gpu-v3,1000,300,128,kernel,1.433600e-05
0,gpu-v1,1000,300,192,total,3.152000e-04
0,gpu-v1,1000,300,192,kernel,2.560000e-05
0,gpu-v2,1000,300,192,total,3.632320e-04
0,gpu-v2,1000,300,192,kernel,2.150400e-05
0,gpu-v3,1000,300,192,total,4.237760e-04
0,gpu-v3,1000,300,192,kernel,1.433600e-05
0,gpu-v1,1000,300,256,total,4.086176e-03
0,gpu-v1,1000,300,256,kernel,2.969600e-05
0,gpu-v2,1000,300,256,total,4.642880e-04
0,gpu-v2,1000,300,256,kernel,2.662400e-05
0,gpu-v3,1000,300,256,total,4.376960e-04
0,gpu-v3,1000,300,256,kernel,1.638400e-05
0,gpu-v1,1000,300,512,total,4.432960e-04
0,gpu-v1,1000,300,512,kernel,2.969600e-05
0,gpu-v2,1000,300,512,total,4.603520e-04
0,gpu-v2,1000,300,512,kernel,4.608000e-05
0,gpu-v3,1000,300,512,total,4.290560e-04
0,gpu-v3,1000,300,512,kernel,2.048000e-05
0,gpu-v1,1000,300,1024,total,4.430400e-04
0,gpu-v1,1000,300,1024,kernel,3.686400e-05
0,gpu-v2,1000,300,1024,total,5.416320e-04
0,gpu-v2,1000,300,1024,kernel,1.495040e-04
0,gpu-v3,1000,300,1024,total,3.222720e-04
0,gpu-v3,1000,300,1024,kernel,2.969600e-05
0,gpu-v1,1000,3000,32,total,4.002560e-04
0,gpu-v1,1000,3000,32,kernel,1.095680e-04
0,gpu-v2,1000,3000,32,total,3.725440e-04
0,gpu-v2,1000,3000,32,kernel,9.011200e-05
0,gpu-v3,1000,3000,32,total,3.802880e-04
0,gpu-v3,1000,3000,32,kernel,9.529600e-05
0,gpu-v1,1000,3000,64,total,3.997760e-04
0,gpu-v1,1000,3000,64,kernel,1.105600e-04
0,gpu-v2,1000,3000,64,total,3.625600e-04
0,gpu-v2,1000,3000,64,kernel,7.680000e-05
0,gpu-v3,1000,3000,64,total,3.623488e-03
0,gpu-v3,1000,3000,64,kernel,6.963200e-05
0,gpu-v1,1000,3000,128,total,4.308160e-04
0,gpu-v1,1000,3000,128,kernel,1.116160e-04
0,gpu-v2,1000,3000,128,total,3.661760e-04
0,gpu-v2,1000,3000,128,kernel,7.168000e-05
0,gpu-v3,1000,3000,128,total,3.511680e-04
0,gpu-v3,1000,3000,128,kernel,5.632000e-05
0,gpu-v1,1000,3000,192,total,4.022080e-04
0,gpu-v1,1000,3000,192,kernel,1.146880e-04
0,gpu-v2,1000,3000,192,total,3.964800e-04
0,gpu-v2,1000,3000,192,kernel,1.003520e-04
0,gpu-v3,1000,3000,192,total,3.513920e-04
0,gpu-v3,1000,3000,192,kernel,5.836800e-05
0,gpu-v1,1000,3000,256,total,4.106880e-04
0,gpu-v1,1000,3000,256,kernel,1.218560e-04
0,gpu-v2,1000,3000,256,total,3.899840e-04
0,gpu-v2,1000,3000,256,kernel,1.003520e-04
0,gpu-v3,1000,3000,256,total,3.536320e-04
0,gpu-v3,1000,3000,256,kernel,6.553600e-05
0,gpu-v1,1000,3000,512,total,4.548160e-04
0,gpu-v1,1000,3000,512,kernel,1.648960e-04
0,gpu-v2,1000,3000,512,total,4.542080e-04
0,gpu-v2,1000,3000,512,kernel,1.699840e-04
0,gpu-v3,1000,3000,512,total,4.045120e-04
0,gpu-v3,1000,3000,512,kernel,9.728000e-05
0,gpu-v1,1000,3000,1024,total,6.032640e-04
0,gpu-v1,1000,3000,1024,kernel,3.010560e-04
0,gpu-v2,1000,3000,1024,total,6.467840e-04
0,gpu-v2,1000,3000,1024,kernel,3.399680e-04
0,gpu-v3,1000,3000,1024,total,4.908160e-04
0,gpu-v3,1000,3000,1024,kernel,1.884160e-04
0,gpu-v1,1000000,3,32,total,3.695136e-03
0,gpu-v1,1000000,3,32,kernel,6.553600e-05
0,gpu-v2,1000000,3,32,total,1.640832e-03
0,gpu-v2,1000000,3,32,kernel,8.035200e-05
0,gpu-v3,1000000,3,32,total,1.592576e-03
0,gpu-v3,1000000,3,32,kernel,6.649600e-05
0,gpu-v1,1000000,3,64,total,1.594656e-03
0,gpu-v1,1000000,3,64,kernel,3.641600e-05
0,gpu-v2,1000000,3,64,total,1.686912e-03
0,gpu-v2,1000000,3,64,kernel,1.328640e-04
0,gpu-v3,1000000,3,64,total,1.612480e-03
0,gpu-v3,1000000,3,64,kernel,3.862400e-05
0,gpu-v1,1000000,3,128,total,1.577024e-03
0,gpu-v1,1000000,3,128,kernel,2.355200e-05
0,gpu-v2,1000000,3,128,total,1.770656e-03
0,gpu-v2,1000000,3,128,kernel,2.410240e-04
0,gpu-v3,1000000,3,128,total,1.561632e-03
0,gpu-v3,1000000,3,128,kernel,3.065600e-05
0,gpu-v1,1000000,3,192,total,4.168704e-03
0,gpu-v1,1000000,3,192,kernel,2.208000e-05
0,gpu-v2,1000000,3,192,total,1.938336e-03
0,gpu-v2,1000000,3,192,kernel,3.568640e-04
0,gpu-v3,1000000,3,192,total,1.678016e-03
0,gpu-v3,1000000,3,192,kernel,3.193600e-05
0,gpu-v1,1000000,3,256,total,1.547488e-03
0,gpu-v1,1000000,3,256,kernel,2.128000e-05
0,gpu-v2,1000000,3,256,total,2.056192e-03
0,gpu-v2,1000000,3,256,kernel,4.591680e-04
0,gpu-v3,1000000,3,256,total,1.564768e-03
0,gpu-v3,1000000,3,256,kernel,3.107200e-05
0,gpu-v1,1000000,3,512,total,1.565984e-03
0,gpu-v1,1000000,3,512,kernel,2.208000e-05
0,gpu-v2,1000000,3,512,total,4.796800e-03
0,gpu-v2,1000000,3,512,kernel,9.162880e-04
0,gpu-v3,1000000,3,512,total,1.572736e-03
0,gpu-v3,1000000,3,512,kernel,3.283200e-05
0,gpu-v1,1000000,3,1024,total,3.252928e-03
0,gpu-v1,1000000,3,1024,kernel,2.265600e-05
0,gpu-v2,1000000,3,1024,total,3.438848e-03
0,gpu-v2,1000000,3,1024,kernel,1.870240e-03
0,gpu-v3,1000000,3,1024,total,1.569408e-03
0,gpu-v3,1000000,3,1024,kernel,3.574400e-05
0,gpu-v1,1000000,30,32,total,1.605760e-03
0,gpu-v1,1000000,30,32,kernel,6.851200e-05
0,gpu-v2,1000000,30,32,total,1.747360e-03
0,gpu-v2,1000000,30,32,kernel,7.952000e-05
0,gpu-v3,1000000,30,32,total,1.610720e-03
0,gpu-v3,1000000,30,32,kernel,6.835200e-05
0,gpu-v1,1000000,30,64,total,4.277376e-03
0,gpu-v1,1000000,30,64,kernel,5.283200e-05
0,gpu-v2,1000000,30,64,total,1.674464e-03
0,gpu-v2,1000000,30,64,kernel,1.327680e-04
0,gpu-v3,1000000,30,64,total,4.341312e-03
0,gpu-v3,1000000,30,64,kernel,5.712000e-05
0,gpu-v1,1000000,30,128,total,1.876288e-03
0,gpu-v1,1000000,30,128,kernel,5.385600e-05
0,gpu-v2,1000000,30,128,total,2.056224e-03
0,gpu-v2,1000000,30,128,kernel,2.438400e-04
0,gpu-v3,1000000,30,128,total,1.855872e-03
0,gpu-v3,1000000,30,128,kernel,5.123200e-05
0,gpu-v1,1000000,30,192,total,1.869856e-03
0,gpu-v1,1000000,30,192,kernel,5.385600e-05
0,gpu-v2,1000000,30,192,total,2.172320e-03
0,gpu-v2,1000000,30,192,kernel,3.563520e-04
0,gpu-v3,1000000,30,192,total,1.713792e-03
0,gpu-v3,1000000,30,192,kernel,6.259200e-05
0,gpu-v1,1000000,30,256,total,1.589344e-03
0,gpu-v1,1000000,30,256,kernel,5.225600e-05
0,gpu-v2,1000000,30,256,total,5.746336e-03
0,gpu-v2,1000000,30,256,kernel,4.598400e-04
0,gpu-v3,1000000,30,256,total,1.593440e-03
0,gpu-v3,1000000,30,256,kernel,4.880000e-05
0,gpu-v1,1000000,30,512,total,1.588672e-03
0,gpu-v1,1000000,30,512,kernel,5.238400e-05
0,gpu-v2,1000000,30,512,total,2.456704e-03
