rep,algo,x,y,section,dur
24,stock,8,4,total,4.398272e-03
24,stock,8,4,kernel,2.570240e-04
24,v1,8,4,total,4.719072e-03
24,v1,8,4,kernel,4.372480e-04
24,stock,8,8,total,2.076000e-03
24,stock,8,8,kernel,2.529280e-04
24,v1,8,8,total,1.961472e-03
24,v1,8,8,kernel,4.403200e-04
24,stock,8,16,total,2.089760e-03
24,stock,8,16,kernel,2.529280e-04
24,v1,8,16,total,4.767488e-03
24,v1,8,16,kernel,4.382720e-04
24,stock,16,16,total,2.214080e-03
24,stock,16,16,kernel,2.508800e-04
24,v1,16,16,total,2.998560e-03
24,v1,16,16,kernel,4.331520e-04
24,stock,24,24,total,2.098176e-03
24,stock,24,24,kernel,2.641920e-04
24,v1,24,24,total,4.406304e-03
24,v1,24,24,kernel,4.392960e-04
24,stock,16,32,total,2.067488e-03
24,stock,16,32,kernel,2.508800e-04
24,v1,16,32,total,4.580768e-03
24,v1,16,32,kernel,4.310720e-04
24,stock,32,32,total,4.485472e-03
24,stock,32,32,kernel,2.631680e-04
24,v1,32,32,total,1.981056e-03
24,v1,32,32,kernel,4.270080e-04
25,cpu,,,total,2.275779e-01
25,stock,8,4,total,2.047360e-03
25,stock,8,4,kernel,2.580480e-04
25,v1,8,4,total,3.840736e-03
25,v1,8,4,kernel,4.362240e-04
25,stock,8,8,total,2.023840e-03
25,stock,8,8,kernel,2.529280e-04
25,v1,8,8,total,1.962880e-03
25,v1,8,8,kernel,4.392960e-04
25,stock,8,16,total,2.054016e-03
25,stock,8,16,kernel,2.519040e-04
25,v1,8,16,total,1.956384e-03
25,v1,8,16,kernel,4.372480e-04
25,stock,16,16,total,3.356000e-03
25,stock,16,16,kernel,2.508800e-04
25,v1,16,16,total,2.003296e-03
25,v1,16,16,kernel,4.331520e-04
25,stock,24,24,total,5.226496e-03
25,stock,24,24,kernel,2.662400e-04
25,v1,24,24,total,1.945568e-03
25,v1,24,24,kernel,4.331520e-04
25,stock,16,32,total,2.003040e-03
25,stock,16,32,kernel,2.509120e-04
25,v1,16,32,total,1.970496e-03
25,v1,16,32,kernel,4.290560e-04
25,stock,32,32,total,2.026112e-03
25,stock,32,32,kernel,2.631680e-04
25,v1,32,32,total,3.335008e-03
25,v1,32,32,kernel,4.270080e-04
26,cpu,,,total,2.281481e-01
26,stock,8,4,total,2.040896e-03
26,stock,8,4,kernel,2.580480e-04
26,v1,8,4,total,1.964832e-03
26,v1,8,4,kernel,4.382720e-04
26,stock,8,8,total,2.002528e-03
26,stock,8,8,kernel,2.529280e-04
26,v1,8,8,total,1.963328e-03
26,v1,8,8,kernel,4.382720e-04
26,stock,8,16,total,2.012832e-03
26,stock,8,16,kernel,2.519040e-04
26,v1,8,16,total,4.211520e-03
26,v1,8,16,kernel,4.434240e-04
26,stock,16,16,total,2.010912e-03
26,stock,16,16,kernel,2.498560e-04
26,v1,16,16,total,5.225696e-03
26,v1,16,16,kernel,4.321280e-04
26,stock,24,24,total,2.045632e-03
26,stock,24,24,kernel,2.662400e-04
26,v1,24,24,total,4.099680e-03
26,v1,24,24,kernel,4.423680e-04
26,stock,16,32,total,2.025088e-03
26,stock,16,32,kernel,2.508800e-04
26,v1,16,32,total,4.111744e-03
26,v1,16,32,kernel,4.290560e-04
26,stock,32,32,total,2.038080e-03
26,stock,32,32,kernel,2.631680e-04
26,v1,32,32,total,3.586688e-03
26,v1,32,32,kernel,4.270080e-04
27,cpu,,,total,2.270102e-01
27,stock,8,4,total,5.394464e-03
27,stock,8,4,kernel,2.570240e-04
27,v1,8,4,total,4.973664e-03
27,v1,8,4,kernel,4.382720e-04
27,stock,8,8,total,2.049120e-03
27,stock,8,8,kernel,2.529280e-04
27,v1,8,8,total,1.959872e-03
27,v1,8,8,kernel,4.403200e-04
27,stock,8,16,total,3.088928e-03
27,stock,8,16,kernel,2.529280e-04
27,v1,8,16,total,1.972480e-03
27,v1,8,16,kernel,4.382720e-04
27,stock,16,16,total,4.739744e-03
27,stock,16,16,kernel,2.498560e-04
27,v1,16,16,total,1.970400e-03
27,v1,16,16,kernel,4.341760e-04
27,stock,24,24,total,4.006048e-03
27,stock,24,24,kernel,2.641600e-04
27,v1,24,24,total,1.990880e-03
27,v1,24,24,kernel,4.341760e-04
27,stock,16,32,total,2.039712e-03
27,stock,16,32,kernel,2.590720e-04
27,v1,16,32,total,1.964480e-03
27,v1,16,32,kernel,4.290560e-04
27,stock,32,32,total,2.055680e-03
27,stock,32,32,kernel,2.641920e-04
27,v1,32,32,total,4.551712e-03
27,v1,32,32,kernel,4.270080e-04
28,cpu,,,total,2.278356e-01
28,stock,8,4,total,2.106560e-03
28,stock,8,4,kernel,2.560320e-04
28,v1,8,4,total,1.967968e-03
28,v1,8,4,kernel,4.362240e-04
28,stock,8,8,total,4.362816e-03
28,stock,8,8,kernel,2.529280e-04
28,v1,8,8,total,1.975616e-03
28,v1,8,8,kernel,4.392960e-04
28,stock,8,16,total,4.081600e-03
28,stock,8,16,kernel,2.519040e-04
28,v1,8,16,total,1.984416e-03
28,v1,8,16,kernel,4.413440e-04
28,stock,16,16,total,2.016608e-03
28,stock,16,16,kernel,2.519040e-04
28,v1,16,16,total,3.270464e-03
28,v1,16,16,kernel,4.331520e-04
28,stock,24,24,total,2.023232e-03
28,stock,24,24,kernel,2.652160e-04
28,v1,24,24,total,3.867584e-03
28,v1,24,24,kernel,4.392960e-04
28,stock,16,32,total,2.027232e-03
28,stock,16,32,kernel,2.498560e-04
28,v1,16,32,total,4.488640e-03
28,v1,16,32,kernel,4.280320e-04
28,stock,32,32,total,2.065664e-03
28,stock,32,32,kernel,2.641920e-04
28,v1,32,32,total,3.342144e-03
28,v1,32,32,kernel,4.270080e-04
29,cpu,,,total,2.261017e-01
29,stock,8,4,total,3.911232e-03
29,stock,8,4,kernel,2.570240e-04
29,v1,8,4,total,1.989248e-03
29,v1,8,4,kernel,4.382720e-04
29,stock,8,8,total,4.855616e-03
29,stock,8,8,kernel,2.528960e-04
29,v1,8,8,total,1.997792e-03
29,v1,8,8,kernel,4.403200e-04
29,stock,8,16,total,2.056640e-03
29,stock,8,16,kernel,2.519360e-04
29,v1,8,16,total,1.972320e-03
29,v1,8,16,kernel,4.383040e-04
29,stock,16,16,total,2.021856e-03
29,stock,16,16,kernel,2.508800e-04
29,v1,16,16,total,5.034144e-03
29,v1,16,16,kernel,4.362240e-04
29,stock,24,24,total,2.033504e-03
29,stock,24,24,kernel,2.641920e-04
29,v1,24,24,total,4.249728e-03
29,v1,24,24,kernel,4.392960e-04
29,stock,16,32,total,2.026112e-03
29,stock,16,32,kernel,2.518720e-04
29,v1,16,32,total,4.796128e-03
29,v1,16,32,kernel,4.341760e-04
29,stock,32,32,total,2.028960e-03
29,stock,32,32,kernel,2.631680e-04
29,v1,32,32,total,4.997696e-03
29,v1,32,32,kernel,4.270080e-04
30,cpu,,,total,2.263484e-01
30,stock,8,4,total,3.078272e-03
30,stock,8,4,kernel,2.570240e-04
30,v1,8,4,total,1.966688e-03
30,v1,8,4,kernel,4.372480e-04
30,stock,8,8,total,4.602560e-03
30,stock,8,8,kernel,2.529280e-04
30,v1,8,8,total,1.973344e-03
30,v1,8,8,kernel,4.392960e-04
30,stock,8,16,total,4.240512e-03
30,stock,8,16,kernel,2.539520e-04
30,v1,8,16,total,1.971648e-03
30,v1,8,16,kernel,4.382720e-04
30,stock,16,16,total,3.844128e-03
30,stock,16,16,kernel,2.508800e-04
30,v1,16,16,total,1.976864e-03
30,v1,16,16,kernel,4.362240e-04
30,stock,24,24,total,5.071808e-03
30,stock,24,24,kernel,2.641920e-04
30,v1,24,24,total,1.976928e-03
30,v1,24,24,kernel,4.331520e-04
30,stock,16,32,total,4.669568e-03
30,stock,16,32,kernel,2.519040e-04
30,v1,16,32,total,1.986656e-03
30,v1,16,32,kernel,4.311040e-04
30,stock,32,32,total,4.753696e-03
30,stock,32,32,kernel,2.631680e-04
30,v1,32,32,total,1.969664e-03
30,v1,32,32,kernel,4.280320e-04
31,cpu,,,total,2.260031e-01
31,stock,8,4,total,2.066336e-03
31,stock,8,4,kernel,2.570240e-04
31,v1,8,4,total,1.999200e-03
31,v1,8,4,kernel,4.372480e-04
31,stock,8,8,total,3.912672e-03
31,stock,8,8,kernel,2.529280e-04
31,v1,8,8,total,1.969568e-03
31,v1,8,8,kernel,4.413440e-04
31,stock,8,16,total,2.014144e-03
31,stock,8,16,kernel,2.519040e-04
31,v1,8,16,total,1.958368e-03
31,v1,8,16,kernel,4.362240e-04
31,stock,16,16,total,2.003648e-03
31,stock,16,16,kernel,2.498560e-04
31,v1,16,16,total,3.963648e-03
31,v1,16,16,kernel,4.352000e-04
31,stock,24,24,total,2.042848e-03
31,stock,24,24,kernel,2.641920e-04
31,v1,24,24,total,3.981792e-03
31,v1,24,24,kernel,4.382720e-04
31,stock,16,32,total,2.016928e-03
31,stock,16,32,kernel,2.498560e-04
31,v1,16,32,total,4.912480e-03
31,v1,16,32,kernel,4.300800e-04
31,stock,32,32,total,2.045568e-03
31,stock,32,32,kernel,2.631680e-04
31,v1,32,32,total,4.826400e-03
31,v1,32,32,kernel,4.280320e-04
32,cpu,,,total,2.259334e-01
32,stock,8,4,total,3.786592e-03
32,stock,8,4,kernel,2.560000e-04
32,v1,8,4,total,1.956768e-03
32,v1,8,4,kernel,4.352000e-04
32,stock,8,8,total,7.993024e-03
32,stock,8,8,kernel,2.529280e-04
32,v1,8,8,total,1.982944e-03
32,v1,8,8,kernel,4.392960e-04
32,stock,8,16,total,7.399744e-03
32,stock,8,16,kernel,2.519040e-04
32,v1,8,16,total,2.885440e-03
32,v1,8,16,kernel,4.382720e-04
32,stock,16,16,total,2.012992e-03
32,stock,16,16,kernel,2.498560e-04
32,v1,16,16,total,4.523104e-03
32,v1,16,16,kernel,4.331200e-04
32,stock,24,24,total,2.038144e-03
32,stock,24,24,kernel,2.631680e-04
32,v1,24,24,total,4.239072e-03
32,v1,24,24,kernel,4.382720e-04
32,stock,16,32,total,2.030784e-03
32,stock,16,32,kernel,2.509120e-04
32,v1,16,32,total,4.833568e-03
32,v1,16,32,kernel,4.290560e-04
32,stock,32,32,total,2.074816e-03
32,stock,32,32,kernel,2.631680e-04
32,v1,32,32,total,1.936256e-03
32,v1,32,32,kernel,4.270080e-04
33,cpu,,,total,2.296276e-01
33,stock,8,4,total,4.062272e-03
33,stock,8,4,kernel,2.580160e-04
33,v1,8,4,total,1.954496e-03
33,v1,8,4,kernel,4.362240e-04
33,stock,8,8,total,4.872512e-03
33,stock,8,8,kernel,2.519040e-04
33,v1,8,8,total,1.993216e-03
33,v1,8,8,kernel,4.403200e-04
33,stock,8,16,total,2.003200e-03
33,stock,8,16,kernel,2.539520e-04
33,v1,8,16,total,1.962592e-03
33,v1,8,16,kernel,4.392640e-04
33,stock,16,16,total,1.989696e-03
33,stock,16,16,kernel,2.508800e-04
33,v1,16,16,total,1.968576e-03
33,v1,16,16,kernel,4.321280e-04
33,stock,24,24,total,2.058368e-03
33,stock,24,24,kernel,2.641920e-04
33,v1,24,24,total,1.958016e-03
33,v1,24,24,kernel,4.311360e-04
33,stock,16,32,total,5.059520e-03
33,stock,16,32,kernel,2.600960e-04
33,v1,16,32,total,2.074400e-03
33,v1,16,32,kernel,4.290560e-04
33,stock,32,32,total,3.845920e-03
33,stock,32,32,kernel,2.631680e-04
33,v1,32,32,total,1.957888e-03
33,v1,32,32,kernel,4.270080e-04
34,cpu,,,total,2.254859e-01
34,stock,8,4,total,2.030784e-03
34,stock,8,4,kernel,2.560000e-04
34,v1,8,4,total,2.004480e-03
34,v1,8,4,kernel,4.362240e-04
34,stock,8,8,total,2.065440e-03
34,stock,8,8,kernel,2.529280e-04
34,v1,8,8,total,1.957344e-03
34,v1,8,8,kernel,4.392960e-04
34,stock,8,16,total,2.003680e-03
34,stock,8,16,kernel,2.519360e-04
34,v1,8,16,total,1.953952e-03
34,v1,8,16,kernel,4.382720e-04
34,stock,16,16,total,2.011392e-03
34,stock,16,16,kernel,2.498560e-04
34,v1,16,16,total,1.941056e-03
34,v1,16,16,kernel,4.321280e-04
34,stock,24,24,total,5.066880e-03
34,stock,24,24,kernel,2.652160e-04
34,v1,24,24,total,1.961952e-03
34,v1,24,24,kernel,4.311040e-04
34,stock,16,32,total,5.467264e-03
34,stock,16,32,kernel,2.519040e-04
34,v1,16,32,total,1.966624e-03
34,v1,16,32,kernel,4.311040e-04
34,stock,32,32,total,3.314592e-03
34,stock,32,32,kernel,2.621440e-04
34,v1,32,32,total,1.959648e-03
34,v1,32,32,kernel,4.280320e-04
35,cpu,,,total,2.254307e-01
35,stock,8,4,total,2.052288e-03
35,stock,8,4,kernel,2.560000e-04
35,v1,8,4,total,1.965824e-03
35,v1,8,4,kernel,4.362240e-04
35,stock,8,8,total,4.152352e-03
35,stock,8,8,kernel,2.539520e-04
35,v1,8,8,total,1.974112e-03
35,v1,8,8,kernel,4.403200e-04
35,stock,8,16,total,2.024864e-03
35,stock,8,16,kernel,2.519040e-04
35,v1,8,16,total,1.979392e-03
35,v1,8,16,kernel,4.382720e-04
35,stock,16,16,total,2.006624e-03
35,stock,16,16,kernel,2.498560e-04
35,v1,16,16,total,4.004000e-03
35,v1,16,16,kernel,4.331520e-04
35,stock,24,24,total,2.110240e-03
35,stock,24,24,kernel,2.652160e-04
35,v1,24,24,total,3.609088e-03
35,v1,24,24,kernel,4.321280e-04
35,stock,16,32,total,2.026944e-03
35,stock,16,32,kernel,2.508800e-04
35,v1,16,32,total,4.862208e-03
35,v1,16,32,kernel,4.290560e-04
35,stock,32,32,total,2.055648e-03
35,stock,32,32,kernel,2.641920e-04
35,v1,32,32,total,3.787328e-03
35,v1,32,32,kernel,4.290560e-04
36,cpu,,,total,2.292097e-01
36,stock,8,4,total,2.225536e-03
36,stock,8,4,kernel,2.559680e-04
36,v1,8,4,total,1.964128e-03
36,v1,8,4,kernel,4.372480e-04
36,stock,8,8,total,4.511296e-03
36,stock,8,8,kernel,2.529280e-04
36,v1,8,8,total,2.020960e-03
36,v1,8,8,kernel,4.403200e-04
36,stock,8,16,total,2.019968e-03
36,stock,8,16,kernel,2.519040e-04
36,v1,8,16,total,1.979872e-03
36,v1,8,16,kernel,4.403200e-04
36,stock,16,16,total,2.036960e-03
36,stock,16,16,kernel,2.498560e-04
36,v1,16,16,total,7.072352e-03
36,v1,16,16,kernel,4.341760e-04
36,stock,24,24,total,2.054208e-03
36,stock,24,24,kernel,2.641920e-04
36,v1,24,24,total,3.458688e-03
36,v1,24,24,kernel,4.413440e-04
36,stock,16,32,total,2.021312e-03
36,stock,16,32,kernel,2.519040e-04
36,v1,16,32,total,3.793760e-03
36,v1,16,32,kernel,4.290560e-04
36,stock,32,32,total,2.044992e-03
36,stock,32,32,kernel,2.641920e-04
36,v1,32,32,total,3.834368e-03
36,v1,32,32,kernel,4.270080e-04
37,cpu,,,total,2.294930e-01
37,stock,8,4,total,3.066176e-03
37,stock,8,4,kernel,2.580480e-04
37,v1,8,4,total,1.973248e-03
37,v1,8,4,kernel,4.413440e-04
37,stock,8,8,total,3.924768e-03
37,stock,8,8,kernel,2.539520e-04
37,v1,8,8,total,1.981312e-03
37,v1,8,8,kernel,4.392960e-04
37,stock,8,16,total,4.030144e-03
37,stock,8,16,kernel,2.529280e-04
37,v1,8,16,total,1.966048e-03
37,v1,8,16,kernel,4.382720e-04
37,stock,16,16,total,5.132928e-03
37,stock,16,16,kernel,2.519040e-04
37,v1,16,16,total,1.973888e-03
37,v1,16,16,kernel,4.351680e-04
37,stock,24,24,total,5.131488e-03
37,stock,24,24,kernel,2.846720e-04
37,v1,24,24,total,1.950784e-03
37,v1,24,24,kernel,4.321280e-04
37,stock,16,32,total,4.650720e-03
37,stock,16,32,kernel,2.508800e-04
37,v1,16,32,total,1.954912e-03
37,v1,16,32,kernel,4.300800e-04
37,stock,32,32,total,5.607744e-03
37,stock,32,32,kernel,2.631680e-04
37,v1,32,32,total,2.006592e-03
37,v1,32,32,kernel,4.270080e-04
38,cpu,,,total,2.291353e-01
38,stock,8,4,total,3.694912e-03
38,stock,8,4,kernel,2.580480e-04
38,v1,8,4,total,1.966240e-03
38,v1,8,4,kernel,4.362240e-04
38,stock,8,8,total,4.519168e-03
38,stock,8,8,kernel,2.519040e-04
38,v1,8,8,total,1.973248e-03
38,v1,8,8,kernel,4.403200e-04
38,stock,8,16,total,4.520544e-03
38,stock,8,16,kernel,2.519040e-04
38,v1,8,16,total,1.973408e-03
38,v1,8,16,kernel,4.392960e-04
38,stock,16,16,total,2.542640e-02
38,stock,16,16,kernel,2.508800e-04
38,v1,16,16,total,1.971392e-03
38,v1,16,16,kernel,4.331520e-04
38,stock,24,24,total,3.294304e-03
38,stock,24,24,kernel,2.652160e-04
38,v1,24,24,total,1.974688e-03
38,v1,24,24,kernel,4.392960e-04
38,stock,16,32,total,2.012224e-03
38,stock,16,32,kernel,2.519040e-04
38,v1,16,32,total,3.969312e-03
38,v1,16,32,kernel,4.300800e-04
38,stock,32,32,total,2.039584e-03
38,stock,32,32,kernel,2.621760e-04
38,v1,32,32,total,5.026720e-03
38,v1,32,32,kernel,4.270080e-04
39,cpu,,,total,2.286529e-01
39,stock,8,4,total,2.083040e-03
39,stock,8,4,kernel,2.570240e-04
39,v1,8,4,total,2.020448e-03
39,v1,8,4,kernel,4.382720e-04
39,stock,8,8,total,4.645312e-03
39,stock,8,8,kernel,2.539520e-04
39,v1,8,8,total,1.959904e-03
39,v1,8,8,kernel,4.393280e-04
39,stock,8,16,total,3.564608e-03
39,stock,8,16,kernel,2.529280e-04
39,v1,8,16,total,1.963552e-03
39,v1,8,16,kernel,4.382720e-04
39,stock,16,16,total,2.010976e-03
39,stock,16,16,kernel,2.498560e-04
39,v1,16,16,total,1.958880e-03
39,v1,16,16,kernel,4.321280e-04
39,stock,24,24,total,2.027904e-03
39,stock,24,24,kernel,2.652160e-04
39,v1,24,24,total,3.303392e-03
39,v1,24,24,kernel,4.321280e-04
39,stock,16,32,total,2.053248e-03
39,stock,16,32,kernel,2.519040e-04
39,v1,16,32,total,1.979360e-03
39,v1,16,32,kernel,4.300800e-04
39,stock,32,32,total,2.698272e-03
39,stock,32,32,kernel,2.631680e-04
39,v1,32,32,total,1.963840e-03
39,v1,32,32,kernel,4.270080e-04
40,cpu,,,total,2.271578e-01
40,stock,8,4,total,2.039968e-03
40,stock,8,4,kernel,2.570240e-04
40,v1,8,4,total,3.852896e-03
40,v1,8,4,kernel,4.392960e-04
40,stock,8,8,total,2.058432e-03
40,stock,8,8,kernel,2.519040e-04
40,v1,8,8,total,1.959680e-03
40,v1,8,8,kernel,4.403200e-04
40,stock,8,16,total,2.002016e-03
40,stock,8,16,kernel,2.529280e-04
40,v1,8,16,total,1.955488e-03
40,v1,8,16,kernel,4.392960e-04
40,stock,16,16,total,4.388416e-03
40,stock,16,16,kernel,2.498560e-04
40,v1,16,16,total,1.959040e-03
40,v1,16,16,kernel,4.352000e-04
40,stock,24,24,total,4.896096e-03
40,stock,24,24,kernel,2.641920e-04
40,v1,24,24,total,2.000832e-03
40,v1,24,24,kernel,4.392960e-04
40,stock,16,32,total,6.278272e-03
40,stock,16,32,kernel,2.498560e-04
40,v1,16,32,total,1.957152e-03
40,v1,16,32,kernel,4.290560e-04
40,stock,32,32,total,5.767712e-03
40,stock,32,32,kernel,2.662400e-04
40,v1,32,32,total,4.308512e-03
40,v1,32,32,kernel,4.270080e-04
41,cpu,,,total,2.285960e-01
41,stock,8,4,total,4.203424e-03
41,stock,8,4,kernel,2.580480e-04
41,v1,8,4,total,4.588512e-03
41,v1,8,4,kernel,4.362240e-04
41,stock,8,8,total,2.042592e-03
41,stock,8,8,kernel,2.529280e-04
41,v1,8,8,total,1.987008e-03
41,v1,8,8,kernel,4.413440e-04
41,stock,8,16,total,2.028288e-03
41,stock,8,16,kernel,2.529280e-04
41,v1,8,16,total,1.977984e-03
41,v1,8,16,kernel,4.382720e-04
41,stock,16,16,total,8.186112e-03
41,stock,16,16,kernel,2.508800e-04
41,v1,16,16,total,1.983904e-03
41,v1,16,16,kernel,4.331520e-04
41,stock,24,24,total,2.041984e-03
41,stock,24,24,kernel,2.652160e-04
41,v1,24,24,total,6.152512e-03
41,v1,24,24,kernel,4.392960e-04
41,stock,16,32,total,4.159584e-03
41,stock,16,32,kernel,2.519040e-04
41,v1,16,32,total,1.972288e-03
41,v1,16,32,kernel,4.290560e-04
41,stock,32,32,total,5.505536e-03
41,stock,32,32,kernel,2.652160e-04
41,v1,32,32,total,1.956608e-03
41,v1,32,32,kernel,4.270400e-04
42,cpu,,,total,2.283409e-01
42,stock,8,4,total,2.037632e-03
42,stock,8,4,kernel,2.570240e-04
42,v1,8,4,total,3.355872e-03
42,v1,8,4,kernel,4.372480e-04
42,stock,8,8,total,2.089984e-03
42,stock,8,8,kernel,2.529280e-04
42,v1,8,8,total,4.541216e-03
42,v1,8,8,kernel,4.402880e-04
42,stock,8,16,total,2.049984e-03
42,stock,8,16,kernel,2.519040e-04
42,v1,8,16,total,4.652224e-03
42,v1,8,16,kernel,4.382720e-04
42,stock,16,16,total,2.022912e-03
42,stock,16,16,kernel,2.519040e-04
42,v1,16,16,total,1.950304e-03
42,v1,16,16,kernel,4.352000e-04
42,stock,24,24,total,3.077536e-03
42,stock,24,24,kernel,2.641920e-04
42,v1,24,24,total,1.960448e-03
42,v1,24,24,kernel,4.382720e-04
42,stock,16,32,total,4.711808e-03
42,stock,16,32,kernel,2.519040e-04
42,v1,16,32,total,1.959712e-03
42,v1,16,32,kernel,4.300800e-04
42,stock,32,32,total,2.037792e-03
42,stock,32,32,kernel,2.641920e-04
42,v1,32,32,total,1.960480e-03
42,v1,32,32,kernel,4.270080e-04
43,cpu,,,total,2.287892e-01
43,stock,8,4,total,2.033952e-03
43,stock,8,4,kernel,2.570240e-04
43,v1,8,4,total,2.051712e-03
43,v1,8,4,kernel,4.362240e-04
43,stock,8,8,total,4.103008e-03
43,stock,8,8,kernel,2.529280e-04
43,v1,8,8,total,4.062496e-03
43,v1,8,8,kernel,4.372480e-04
43,stock,8,16,total,2.027264e-03
43,stock,8,16,kernel,2.529280e-04
43,v1,8,16,total,1.969824e-03
43,v1,8,16,kernel,4.392960e-04
43,stock,16,16,total,5.115136e-03
43,stock,16,16,kernel,2.529280e-04
43,v1,16,16,total,4.695904e-03
43,v1,16,16,kernel,4.341760e-04
43,stock,24,24,total,2.126688e-03
43,stock,24,24,kernel,2.672640e-04
43,v1,24,24,total,1.970720e-03
43,v1,24,24,kernel,4.372480e-04
43,stock,16,32,total,3.798048e-03
43,stock,16,32,kernel,2.519040e-04
43,v1,16,32,total,1.968448e-03
43,v1,16,32,kernel,4.300800e-04
43,stock,32,32,total,4.068416e-03
43,stock,32,32,kernel,2.641920e-04
43,v1,32,32,total,1.956992e-03
43,v1,32,32,kernel,4.270080e-04
44,cpu,,,total,2.290590e-01
44,stock,8,4,total,2.046368e-03
44,stock,8,4,kernel,2.570240e-04
44,v1,8,4,total,2.553568e-03
44,v1,8,4,kernel,4.372480e-04
44,stock,8,8,total,2.032352e-03
44,stock,8,8,kernel,2.519040e-04
44,v1,8,8,total,1.968480e-03
44,v1,8,8,kernel,4.382720e-04
44,stock,8,16,total,3.840192e-03
44,stock,8,16,kernel,2.529280e-04
44,v1,8,16,total,1.978240e-03
44,v1,8,16,kernel,4.382400e-04
44,stock,16,16,total,3.507168e-03
44,stock,16,16,kernel,2.508480e-04
44,v1,16,16,total,1.961248e-03
44,v1,16,16,kernel,4.311040e-04
44,stock,24,24,total,2.046464e-03
44,stock,24,24,kernel,2.641920e-04
44,v1,24,24,total,3.700224e-03
44,v1,24,24,kernel,4.392960e-04
44,stock,16,32,total,2.031744e-03
44,stock,16,32,kernel,2.590720e-04
44,v1,16,32,total,1.949568e-03
44,v1,16,32,kernel,4.290560e-04
44,stock,32,32,total,2.037696e-03
44,stock,32,32,kernel,2.631680e-04
44,v1,32,32,total,5.069152e-03
44,v1,32,32,kernel,4.270080e-04
45,cpu,,,total,2.308467e-01
45,stock,8,4,total,2.087584e-03
45,stock,8,4,kernel,2.580160e-04
45,v1,8,4,total,4.747328e-03
45,v1,8,4,kernel,4.362240e-04
45,stock,8,8,total,2.040288e-03
45,stock,8,8,kernel,2.539520e-04
45,v1,8,8,total,2.762880e-03
45,v1,8,8,kernel,4.403200e-04
45,stock,8,16,total,2.017888e-03
45,stock,8,16,kernel,2.529280e-04
45,v1,8,16,total,1.954880e-03
45,v1,8,16,kernel,4.403200e-04
45,stock,16,16,total,4.141632e-03
45,stock,16,16,kernel,2.519040e-04
45,v1,16,16,total,3.748384e-03
45,v1,16,16,kernel,4.321280e-04
45,stock,24,24,total,2.034464e-03
45,stock,24,24,kernel,2.662400e-04
45,v1,24,24,total,1.980128e-03
45,v1,24,24,kernel,4.392960e-04
45,stock,16,32,total,5.060896e-03
45,stock,16,32,kernel,2.519040e-04
45,v1,16,32,total,1.974112e-03
45,v1,16,32,kernel,4.311040e-04
45,stock,32,32,total,5.024768e-03
45,stock,32,32,kernel,2.631680e-04
45,v1,32,32,total,1.983808e-03
45,v1,32,32,kernel,4.280320e-04
46,cpu,,,total,2.288326e-01
46,stock,8,4,total,7.910080e-03
46,stock,8,4,kernel,2.570240e-04
46,v1,8,4,total,2.505344e-03
46,v1,8,4,kernel,4.372480e-04
46,stock,8,8,total,7.247872e-03
46,stock,8,8,kernel,2.529280e-04
46,v1,8,8,total,4.020864e-03
46,v1,8,8,kernel,4.392960e-04
46,stock,8,16,total,2.028352e-03
46,stock,8,16,kernel,2.528960e-04
46,v1,8,16,total,3.308896e-03
46,v1,8,16,kernel,4.382720e-04
46,stock,16,16,total,2.031296e-03
46,stock,16,16,kernel,2.508800e-04
46,v1,16,16,total,1.971136e-03
46,v1,16,16,kernel,4.341760e-04
46,stock,24,24,total,4.573376e-03
46,stock,24,24,kernel,2.652160e-04
46,v1,24,24,total,1.992672e-03
46,v1,24,24,kernel,4.382720e-04
46,stock,16,32,total,4.836480e-03
46,stock,16,32,kernel,2.508800e-04
46,v1,16,32,total,1.972128e-03
46,v1,16,32,kernel,4.300800e-04
46,stock,32,32,total,4.101120e-03
46,stock,32,32,kernel,2.641920e-04
46,v1,32,32,total,4.502784e-03
46,v1,32,32,kernel,4.280320e-04
47,cpu,,,total,2.278534e-01
47,stock,8,4,total,5.789024e-03
47,stock,8,4,kernel,2.570240e-04
47,v1,8,4,total,5.491296e-03
47,v1,8,4,kernel,4.403200e-04
47,stock,8,8,total,2.018208e-03
47,stock,8,8,kernel,2.519040e-04
47,v1,8,8,total,3.643520e-03
47,v1,8,8,kernel,4.402880e-04
47,stock,8,16,total,2.048160e-03
47,stock,8,16,kernel,2.529280e-04
47,v1,8,16,total,1.970912e-03
47,v1,8,16,kernel,4.372480e-04
47,stock,16,16,total,2.049088e-03
47,stock,16,16,kernel,2.508800e-04
47,v1,16,16,total,1.965216e-03
47,v1,16,16,kernel,4.321280e-04
47,stock,24,24,total,4.675744e-03
47,stock,24,24,kernel,2.611200e-04
47,v1,24,24,total,1.978944e-03
47,v1,24,24,kernel,4.382720e-04
47,stock,16,32,total,2.687488e-03
47,stock,16,32,kernel,2.508800e-04
47,v1,16,32,total,1.962592e-03
47,v1,16,32,kernel,4.434240e-04
47,stock,32,32,total,2.041824e-03
47,stock,32,32,kernel,2.641920e-04
47,v1,32,32,total,4.942944e-03
47,v1,32,32,kernel,4.280320e-04
48,cpu,,,total,2.297678e-01
48,stock,8,4,total,2.038624e-03
48,stock,8,4,kernel,2.570240e-04
48,v1,8,4,total,3.767168e-03
48,v1,8,4,kernel,4.352000e-04
48,stock,8,8,total,4.922624e-03
