rep,algo,x,y,section,dur
4,v1,16,32,total,1.943296e-03
4,v1,16,32,kernel,4.290560e-04
4,stock,32,32,total,2.026016e-03
4,stock,32,32,kernel,2.631680e-04
4,v1,32,32,total,1.943040e-03
4,v1,32,32,kernel,4.270080e-04
5,cpu,,,total,2.291337e-01
5,stock,8,4,total,3.961760e-03
5,stock,8,4,kernel,2.570240e-04
5,v1,8,4,total,1.990432e-03
5,v1,8,4,kernel,4.372480e-04
5,stock,8,8,total,3.840640e-03
5,stock,8,8,kernel,2.529280e-04
5,v1,8,8,total,1.980128e-03
5,v1,8,8,kernel,4.402880e-04
5,stock,8,16,total,3.471360e-03
5,stock,8,16,kernel,2.529280e-04
5,v1,8,16,total,1.972992e-03
5,v1,8,16,kernel,4.392960e-04
5,stock,16,16,total,2.006272e-03
5,stock,16,16,kernel,2.508800e-04
5,v1,16,16,total,4.408448e-03
5,v1,16,16,kernel,4.352000e-04
5,stock,24,24,total,4.630880e-03
5,stock,24,24,kernel,2.662400e-04
5,v1,24,24,total,1.963264e-03
5,v1,24,24,kernel,4.392960e-04
5,stock,16,32,total,2.000768e-03
5,stock,16,32,kernel,2.518720e-04
5,v1,16,32,total,1.953056e-03
5,v1,16,32,kernel,4.300800e-04
5,stock,32,32,total,7.385376e-03
5,stock,32,32,kernel,2.631680e-04
5,v1,32,32,total,4.914400e-03
5,v1,32,32,kernel,4.270080e-04
6,cpu,,,total,2.287905e-01
6,stock,8,4,total,2.103584e-03
6,stock,8,4,kernel,2.570240e-04
6,v1,8,4,total,1.964416e-03
6,v1,8,4,kernel,4.372480e-04
6,stock,8,8,total,2.013664e-03
6,stock,8,8,kernel,2.529280e-04
6,v1,8,8,total,2.304864e-03
6,v1,8,8,kernel,4.413440e-04
6,stock,8,16,total,2.026784e-03
6,stock,8,16,kernel,2.529280e-04
6,v1,8,16,total,4.252768e-03
6,v1,8,16,kernel,4.382720e-04
6,stock,16,16,total,2.016864e-03
6,stock,16,16,kernel,2.508800e-04
6,v1,16,16,total,1.955392e-03
6,v1,16,16,kernel,4.362240e-04
6,stock,24,24,total,2.207456e-03
6,stock,24,24,kernel,2.600960e-04
6,v1,24,24,total,1.974016e-03
6,v1,24,24,kernel,4.321280e-04
6,stock,16,32,total,7.305696e-03
6,stock,16,32,kernel,2.519040e-04
6,v1,16,32,total,1.962144e-03
6,v1,16,32,kernel,4.300480e-04
6,stock,32,32,total,2.040992e-03
6,stock,32,32,kernel,2.631680e-04
6,v1,32,32,total,5.889280e-03
6,v1,32,32,kernel,4.280320e-04
7,cpu,,,total,2.298579e-01
7,stock,8,4,total,3.450048e-03
7,stock,8,4,kernel,2.580480e-04
7,v1,8,4,total,6.901184e-03
7,v1,8,4,kernel,4.352000e-04
7,stock,8,8,total,3.564416e-03
7,stock,8,8,kernel,2.529280e-04
7,v1,8,8,total,1.968096e-03
7,v1,8,8,kernel,4.403200e-04
7,stock,8,16,total,5.630784e-03
7,stock,8,16,kernel,2.529280e-04
7,v1,8,16,total,1.983648e-03
7,v1,8,16,kernel,4.403200e-04
7,stock,16,16,total,3.521888e-03
7,stock,16,16,kernel,2.498560e-04
7,v1,16,16,total,1.964096e-03
